Alignment ID,Muña1,Muña1,Inkamuñ1,Inkamuña2
594,-3.48313,-3.26871,-3.78395,-3.68622
595,-3.22886,-3.28288,-3.71736,-3.77001
599,-2.2847,-2.20203,-3.1085,-3.15319
601,-4.62977,-4.71485,-5.78398,-5.47426
602,-6.09777,-5.09777,-4.97781,-6.09777
603,-6.01281,-6.01281,-5.01281,-6.01281
608,-4.46093,-4.4784,-4.57578,-4.64445
609,-4.98071,-4.77389,-4.63287,-4.76331
610,-3.86917,-3.97205,-5.46995,-5.31527
611,-5.74629,-5.69575,-4.88422,-4.96128
612,-4.56972,-4.4353,-5.43961,-5.51673
613,-5.9637,-5.9637,-4.9637,-5.9637
614,-4.7267,-5.7267,-5.7267,-5.7267
619,-4.16141,-3.78239,-3.95818,-3.88597
622,-5.93309,-5.93309,-4.93309,-5.93309
624,-6.12805,-6.12805,-6.12805,-5.12805
625,-5.92194,-5.92194,-4.92194,-5.92194
630,-4.38834,-4.2013,-6.44225,-5.44225
631,-5.5583,-4.5583,-5.5583,-5.5583
634,-4.26356,-4.29762,-4.61398,-4.08976
636,-2.91138,-3.07872,-3.26292,-3.26215
637,-3.7718,-3.72713,-3.57542,-3.19875
638,-3.93941,-4.23331,-3.84954,-3.84602
639,-4.16747,-4.03159,-4.64931,-4.79222
640,-4.20653,-4.35068,-5.2051,-5.31534
644,-5.15674,-5.04648,-4.94126,-4.69999
648,-4.85703,-5.85703,-5.85703,-5.85703
649,-5.88218,-5.88218,-4.88218,-5.88218
654,-4.11444,-3.96517,-3.81162,-3.95633
655,-3.60567,-3.68095,-3.84265,-3.84561
656,-3.17882,-3.22201,-3.08448,-3.00691
657,-2.86312,-2.98644,-3.15802,-3.10695
658,-4.24755,-4.01916,-4.2122,-4.24252
659,-2.50484,-2.2568,-2.0157,-1.96208
667,-4.43899,-4.21461,-4.43473,-4.58483
668,-3.91791,-3.82694,-3.57356,-3.48993
669,-6.0149,-6.0149,-6.0149,-5.0149
683,-3.49988,-3.55755,-4.63451,-4.41746
684,-5.98399,-5.98399,-5.98399,-4.98399
685,-5.84288,-6.84288,-5.16666,-6.84288
692,-5.81408,-5.81408,-5.81408,-4.81408
702,-4.56879,-4.44879,-4.8249,-4.95092
712,-5.86223,-5.86223,-5.86223,-4.86223
713,-5.10719,-6.06609,-4.93391,-7.14068
722,-4.76293,-4.41658,-4.01378,-4.16684
724,-5.4519,-5.05578,-3.91344,-3.94214
729,-5.49332,-5.53344,-5.62996,-5.87264
730,-4.02851,-4.04249,-4.19486,-4.30806
732,-6.21639,-4.82907,-6.21639,-5.21639
734,-5.92046,-5.92046,-4.92046,-5.92046
736,-6.02039,-6.02039,-5.02039,-6.02039
738,-4.92306,-4.92555,-5.03486,-4.96631
739,-3.30622,-3.4009,-3.6459,-3.78131
742,-4.38564,-4.10704,-4.92228,-4.95255
745,-5.90508,-5.90508,-4.90508,-5.90508
753,-4.29905,-4.19918,-4.25443,-4.3338
756,-4.71147,-7.05311,-5.15512,-7.05311
776,-3.93001,-3.93535,-3.96277,-3.92035
777,-4.49246,-4.58067,-4.08367,-4.01219
778,-3.73281,-3.93931,-4.31838,-4.57792
783,-3.57772,-3.56406,-4.26832,-4.28261
785,-3.44289,-3.6052,-3.62749,-3.67105
786,-4.78463,-5.78463,-5.78463,-5.78463
790,-4.4296,-4.42881,-5.15097,-5.29165
791,-5.14503,-4.73658,-5.40116,-5.96577
792,-4.88937,-4.40515,-4.51664,-5.05881
795,-4.66272,-4.83354,-5.4646,-5.37459
796,-5.24948,-4.69369,-5.1648,-5.14018
797,-5.24948,-4.69369,-5.04594,-5.14018
798,-4.41756,-4.48367,-5.47022,-5.16459
799,-4.52255,-4.19448,-4.50798,-5.07462
800,-3.99647,-4.1047,-5.01488,-4.53462
817,-1.38003,-1.40871,-2.03065,-2.08005
818,-1.87183,-1.61297,-2.07507,-1.9721
819,-1.21046,-1.34192,-1.35553,-1.39421
823,-4.0693,-4.09418,-4.8152,-4.54294
824,-4.43725,-4.50768,-5.13232,-4.74043
825,-4.37035,-4.42159,-4.24692,-4.7006
826,-4.93035,-4.2677,-4.38834,-4.46176
827,-5.32903,-4.72009,-5.0327,-5.03973
828,-5.32903,-5.54182,-4.85,-5.03973
829,-4.60093,-4.84329,-6.17117,-5.33249
830,-5.16245,-5.04223,-5.40862,-5.29649
831,-4.93205,-4.81576,-5.41595,-5.52131
832,-5.39267,-4.82321,-5.1129,-5.06058
833,-5.39267,-4.82321,-5.01618,-5.06058
837,-4.3107,-4.3525,-5.11817,-5.14753
